|FA06|FA06_GrossDemand|1|20170514T162850.332|FA06-FOC-170514162850332|FULL|544734668|7.2|YES|
|REC|1|06-100046-01|
|HDR|06-100046-01|20170514|FOC|MRP|
|DET|06-100046-01|7632|20170507|20170513|
|DET|06-100046-01|19772|20170514|20170514|
|DET|06-100046-01|2096|20170519|20170519|
|DET|06-100046-01|8096|20170526|20170526|
|DET|06-100046-01|3364|20170602|20170602|
|DET|06-100046-01|3460|20170604|20170610|
|DET|06-100046-01|2736|20170611|20170617|
|DET|06-100046-01|3244|20170618|20170624|
|DET|06-100046-01|2736|20170625|20170701|
|DET|06-100046-01|4164|20170702|20170708|
|DET|06-100046-01|3900|20170709|20170715|
|DET|06-100046-01|2876|20170716|20170722|
|DET|06-100046-01|3356|20170723|20170729|
|DET|06-100046-01|2548|20170730|20170805|
|DET|06-100046-01|2596|20170806|20170812|
|DET|06-100046-01|2436|20170813|20170819|
|DET|06-100046-01|2928|20170820|20170826|
|DET|06-100046-01|3584|20170827|20170902|
|DET|06-100046-01|3496|20170903|20170909|
|DET|06-100046-01|2884|20170910|20170916|
|DET|06-100046-01|3524|20170917|20170923|
|DET|06-100046-01|3812|20170924|20170930|
|DET|06-100046-01|4936|20171001|20171007|
|DET|06-100046-01|3908|20171008|20171014|
|DET|06-100046-01|3140|20171015|20171021|
|DET|06-100046-01|3244|20171022|20171028|
|DET|06-100046-01|3292|20171029|20171104|
|DET|06-100046-01|3228|20171105|20171111|
|DET|06-100046-01|3520|20171112|20171118|
|DET|06-100046-01|3916|20171119|20171125|
|DET|06-100046-01|4160|20171126|20171202|
|DET|06-100046-01|3912|20171203|20171209|
|DET|06-100046-01|3268|20171210|20171216|
|DET|06-100046-01|3216|20171217|20171223|
|DET|06-100046-01|3044|20171224|20171230|
|DET|06-100046-01|3488|20171231|20180106|
|DET|06-100046-01|3056|20180107|20180113|
|DET|06-100046-01|2836|20180114|20180120|
|DET|06-100046-01|3032|20180121|20180127|
|DET|06-100046-01|3148|20180128|20180203|
|DET|06-100046-01|2952|20180204|20180210|
|DET|06-100046-01|2972|20180211|20180217|
|DET|06-100046-01|3496|20180218|20180224|
|DET|06-100046-01|3732|20180225|20180303|
|DET|06-100046-01|3688|20180304|20180310|
|DET|06-100046-01|2984|20180311|20180317|
|DET|06-100046-01|2852|20180318|20180324|
|DET|06-100046-01|3100|20180325|20180331|
|DET|06-100046-01|3884|20180401|20180407|
|DET|06-100046-01|3208|20180408|20180414|
|DET|06-100046-01|2828|20180415|20180421|
|DET|06-100046-01|3476|20180422|20180428|
|DET|06-100046-01|3264|20180429|20180505|
|DET|06-100046-01|3216|20180506|20180512|
|DET|06-100046-01|3120|20180513|20180519|
|DET|06-100046-01|3800|20180520|20180526|
|DET|06-100046-01|4220|20180527|20180602|
|DET|06-100046-01|4152|20180603|20180609|
|DET|06-100046-01|3456|20180610|20180616|
|DET|06-100046-01|2008|20180617|20180623|
|DET|06-100046-01|2640|20180624|20180630|
|DET|06-100046-01|3816|20180701|20180707|
|DET|06-100046-01|3144|20180708|20180714|
|DET|06-100046-01|1864|20180715|20180721|
|EOF|
